date,number of tokens,1,1 hl ratio,2,2 hl ratio,3,3 hl ratio,4,4 hl ratio,5,5 hl ratio,6,6 hl ratio,7,7 hl ratio,1 date ratio,2 date ratio,3 date ratio,4 date ratio,5 date ratio,6 date ratio,7 date ratio
2014-07-29,282,5,0.207084726867,2,0.0757363253857,17,0.907254557037,2,0.206666666667,6,0.362421539813,8,0.372084726867,3,0.121939799331,0.0177304964539,0.00709219858156,0.0602836879433,0.00709219858156,0.0212765957447,0.0283687943262,0.0106382978723
2014-07-30,363,15,1.05576923077,2,0.0854545454545,15,0.766013450151,10,0.461118881119,13,0.675088171726,5,0.271998834499,4,0.155498575499,0.0413223140496,0.00550964187328,0.0413223140496,0.0275482093664,0.0358126721763,0.0137741046832,0.0110192837466
2014-07-31,411,16,1.13113149941,12,1.36263736264,21,1.31160971878,12,0.8824000074,12,0.795133755134,2,0.0824915824916,5,0.380909090909,0.0389294403893,0.029197080292,0.0510948905109,0.029197080292,0.029197080292,0.00486618004866,0.0121654501217
2014-08-01,352,9,0.722350314742,7,0.685775427305,14,1.12195829935,15,1.54509234727,6,0.354468599034,7,0.284673547065,1,0.0434782608696,0.0255681818182,0.0198863636364,0.0397727272727,0.0426136363636,0.0170454545455,0.0198863636364,0.00284090909091
2014-08-02,291,9,1.14401709402,2,0.333333333333,16,1.41201916441,7,0.740396825397,27,1.39009130966,5,0.342747252747,6,0.246811594203,0.0309278350515,0.00687285223368,0.0549828178694,0.0240549828179,0.0927835051546,0.0171821305842,0.020618556701
2014-08-03,368,5,0.245793187322,2,0.291666666667,20,0.924693761455,14,1.01157985384,21,2.01417540047,12,0.814029160803,4,0.308448540707,0.0135869565217,0.0054347826087,0.054347826087,0.0380434782609,0.0570652173913,0.0326086956522,0.0108695652174
2014-08-04,427,7,0.664854111406,14,1.21994673908,11,0.959946739085,15,1.46188034188,19,1.59764143264,16,1.08282521438,8,0.631208791209,0.016393442623,0.0327868852459,0.0257611241218,0.0351288056206,0.0444964871194,0.0374707259953,0.0187353629977
2014-08-05,432,19,1.68672919673,16,1.33431605432,4,0.253703703704,12,0.83207854947,16,1.37543576697,15,0.999891774892,6,0.259359605911,0.0439814814815,0.037037037037,0.00925925925926,0.0277777777778,0.037037037037,0.0347222222222,0.0138888888889
2014-08-06,421,20,1.60919254658,18,1.48173691805,17,1.08485162181,18,1.34235209235,9,0.632826384142,16,1.20996455236,9,0.878571428571,0.0475059382423,0.0427553444181,0.0403800475059,0.0427553444181,0.021377672209,0.0380047505938,0.021377672209
2014-08-07,413,7,0.849206349206,8,0.916605616606,14,1.29535644667,11,0.94068986569,6,0.320238095238,3,0.362637362637,7,0.690476190476,0.0169491525424,0.0193704600484,0.0338983050847,0.0266343825666,0.0145278450363,0.00726392251816,0.0169491525424
2014-08-08,437,24,1.86436030153,26,2.29697483676,17,1.02461490201,22,2.18444895684,9,0.397074752098,12,0.925784360567,3,0.121666666667,0.0549199084668,0.0594965675057,0.0389016018307,0.0503432494279,0.0205949656751,0.0274599542334,0.00686498855835
2014-08-09,269,7,0.531341991342,10,0.773766233766,16,1.3014075538,4,0.195599472991,11,0.458128078818,6,0.415123282515,2,0.0821018062397,0.0260223048327,0.0371747211896,0.0594795539033,0.0148698884758,0.0408921933086,0.0223048327138,0.00743494423792
2014-08-10,371,8,0.412573361303,17,1.24351530375,11,0.597823917843,11,0.866029203443,13,0.784176845275,10,0.757060755337,8,0.443710395884,0.0215633423181,0.0458221024259,0.0296495956873,0.0296495956873,0.0350404312668,0.0269541778976,0.0215633423181
2014-08-11,337,11,0.806242236025,8,0.791071428571,10,0.444244306418,14,1.4163216011,6,0.428571428571,15,1.14822275551,9,0.753968253968,0.0326409495549,0.0237388724036,0.0296735905045,0.0415430267062,0.0178041543027,0.0445103857567,0.026706231454
2014-08-12,381,5,0.235930735931,16,1.5661960262,5,0.373015873016,42,4.0250976801,6,0.470820845821,11,0.749956709957,32,2.38618048618,0.0131233595801,0.0419947506562,0.0131233595801,0.110236220472,0.0157480314961,0.0288713910761,0.0839895013123
2014-08-13,356,10,0.753662129974,19,1.21245237771,13,0.938330867034,19,1.55277903256,8,0.580268210051,7,0.295869922182,4,0.228932806324,0.0280898876404,0.0533707865169,0.0365168539326,0.0533707865169,0.0224719101124,0.0196629213483,0.0112359550562
2014-08-14,341,10,0.604965058672,15,1.40086768304,9,0.556798418972,15,1.44202386181,4,0.166811594203,8,0.429880883588,2,0.0834782608696,0.0293255131965,0.0439882697947,0.0263929618768,0.0439882697947,0.0117302052786,0.0234604105572,0.0058651026393
2014-08-15,341,8,0.737433862434,10,0.68122605364,12,0.86671957672,17,1.25595926424,9,0.677489177489,2,0.108465608466,1,0.047619047619,0.0234604105572,0.0293255131965,0.0351906158358,0.049853372434,0.0263929618768,0.0058651026393,0.00293255131965
2014-08-16,333,6,0.389933166249,14,0.966742001632,8,0.599458874459,8,0.687236419494,2,0.0777126099707,10,0.602813852814,2,0.0777126099707,0.018018018018,0.042042042042,0.024024024024,0.024024024024,0.00600600600601,0.03003003003,0.00600600600601
2014-08-17,289,9,0.75456950457,7,0.322077922078,11,0.819612794613,9,0.699105966497,2,0.208333333333,10,0.405808080808,4,0.149562916954,0.0311418685121,0.0242214532872,0.038062283737,0.0311418685121,0.00692041522491,0.0346020761246,0.0138408304498
2014-08-18,283,5,0.307834406972,4,0.149867374005,10,0.419820309625,16,0.853067062872,3,0.111863711002,13,0.584319790654,2,0.111405835544,0.017667844523,0.0141342756184,0.0353356890459,0.0565371024735,0.0106007067138,0.0459363957597,0.00706713780919
