,headline,date
0,Where Does Ebola Come From? ,2014-07-29
1, The worst Ebola virus outbreak ever is ravaging Liberia  Sierra Leone  and Guinea. So far  the disease has killed 670 people and infected more than 1 000  ... Why Deadly Ebola Virus Is Likely to Hit the US But Not Spread ,2014-07-29
2, Ebola outbreak: Asky bans flights in West Africa  ,2014-07-29
3, Public health adviser Yewande Adeshina said 30000 people at risk ...  - ,2014-07-29
4, Ebola Politics  -  (),2014-07-29
5, Ebola plane travel scare has officials on edge  -  ,2014-07-29
6,   ()     Forbes  Azaria Marthyman  Ebola doctor  returns home to Victoria ,2014-07-29
7, Dr. Azaria Marthyman  a Victoria doctor who was part of a medical group that travelled to Liberia earlier this month to treat victims of the Ebola virus has returned ... Victoria doctor places himself in quarantine after treating Ebola in ... International - Global.ca,2014-07-29
8, Related Story: Doctor leading Sierra Leone's fight against Ebola ...  Online,2014-07-29
9, Ebola is believed to have killed 672 people in Guinea  Liberia and Sierra Leone since the outbreak began in February  according to the World Health ... Ebola conspiracy theories spreading fast as outbreak travels round ... ,2014-07-29
10, In Sierra Leone  which has the largest number of Ebola cases  thousands protested outside the country's main Ebola treatment facility in the eastern city of ... Ebola outbreak: Liberia suspends football  ,2014-07-29
11, Liberia has suspended all football activities in an effort to control the spread of the deadly Ebola virus. There was a risk of infection because football is a contact ... Ebola outbreak: More than doctors needed to contain West Africa's ...  - ,2014-07-29
12, An Ebola Epidemic Will Not Happen in the US Reason (),2014-07-29
13, Ebola SierraExpressMediaUSA Today features a slightly alarming headline: Ebola Only an Plane Ride Away from USA. Of course that is true  but that does ... NCAA Suspends Asky Airlines for Flying Ebola Virus Victim into ... Bella Naija,2014-07-29
14, IKEJA (NAN) ― Nigerian Civil Aviation Authority (NCAA) has suspended all ASky Airline flight operations to Nigeria over the transportation of an Ebola virus ... Ebola : 'It's close  it's at our front door' WND.,2014-07-29
15, Patrick Sawyer  the infected man who boarded an international flight last week carrying the deadly Ebola virus and set off alarms about the disease escaping ... Can social media help prevent the spread of Ebola ?  ,2014-07-29
16, West Africa is in the grip of the world's deadliest outbreak of Ebola   and many in the region are using social media to educate each other on the symptoms and ... Ebola : Nigeria is not out of the woods yet — Prof. Tomori Vanguard,2014-07-29
17,Ebola fears hit close to home ,2014-07-30
18," Sawyer is the first American to die in what health officials are calling the ""deadliest Ebola outbreak in history."" His death has sparked concerns that the virus ... Ebola : Spider's web of infection is growing as hunt continues for ... ",2014-07-30
19, 'We Need More': Fight Against Ebola Is Thin on the Ground  - .,2014-07-30
20, Congressman: Close Border to Ebola Countries Opinion - U.S.  & World Report,2014-07-30
21, Poverty is at the root of west Africa's ebola crisis  - Channel 4  (),2014-07-30
22, Ebola outbreak: US Peace Corps evacuates  Liberia closes schools  - ,2014-07-30
23, U.S.  & World Report       America Quartz  Ebola virus: Risk of outbreak spreading to Australia is very low  chief ...  Online,2014-07-30
24, The risk of the deadly Ebola virus spreading to Australia from West Africa is very low  the Commonwealth chief medical officer has said. Almost 700 people have ... Within the next few days we will know if Kent Brantly and Nancy ... ,2014-07-30
25, The two American doctors battling the Ebola virus are entering a 'critical' phase of their treatment  the head of the charity which sent them to Liberia has revealed ... American Ebola doctor 'terrified' after catching disease while trying ... ,2014-07-30
26, What you need to know about the Ebola virus wwlp.,2014-07-30
27,  wwlp.  UK .  EBOLA : Doctor Quarantined in Canada Breitbart ,2014-07-30
28, (AFP) — A Canadian doctor has put himself in quarantine as a precaution after spending weeks in West Africa treating patients with the deadly Ebola virus ... Ebola : NHS can deal with threat to UK  says Philip Hammond  ,2014-07-30
29, The UK's health services have the experience to deal with the threat posed by the Ebola virus  Foreign Secretary Philip Hammond has said. Mr Hammond said ... The death of a key doctor damages the fight against Ebola in Sierra ... Public Radio International,2014-07-30
30,   Ebola outbreak: pan-African airline halts flights to west African ... ,2014-07-30
31," ""The suspension of flights to Freetown and Monrovia by ASKY is related to the fight against the spread of the Ebola virus "" said Afoussath Traore  a spokesman ... Ebola crisis: what is being done to stop the spread? ",2014-07-30
32, Two American Missionaries Fighting for Life Against Ebola Virus ... ,2014-07-30
33,  Ebola : Liberia shuts schools to tackle outbreak  ,2014-07-30
34, Liberia's government has announced that it is closing down all schools across the country to stop the spread of the deadly Ebola virus. Some munities would ... Ebola outbreak: British doctor tells how medics risk their lives to treat ... ,2014-07-30
35, A British doctor who went to treat Ebola victims in Africa has told how medics put ... Dozens of health workers have died treating Ebola patients and Dr Spencer ... Ebola survivor: 'I was terribly afraid'  ,2014-07-30
36,  Canada 'concerned' over Ebola outbreak  but risk to country low ... CTV ,2014-07-30
37, As international health officials scramble to contain a deadly outbreak of Ebola in West Africa  Canadian border agents are now on alert for any signs of illness ... Official: Preliminary test of CMC patient shows malaria WSOC Charlotte,2014-07-30
38, Passaretti said they determined the patient did not have Ebola . The patient has been discharged home. 'There was great munication between hospital and ... Patient traveling from Africa prompts Ebola scare at CMC Charlotte Observer,2014-07-30
39,How the Ebola Outbreak Became Deadliest in History ,2014-07-31
40, The reasons why the Ebola outbreak in West Africa has grown so large  and why it is happening now  may have to do with the travel patterns of bats across ... WHO Director-General  west African presidents to launch intensified ... World Health Organization (press release),2014-07-31
41, Seychelles out of Afcon 2015 race International - Sierra Express Media,2014-07-31
42, Source: Flight en route to Liberia to evacuate Americans infected ...  - ,2014-07-31
43, Ebola virus outbreak: Sierra Leone and Liberia announce Army ... Opinion - Belfast Telegraph,2014-07-31
44, Peace Corps Pulls Volunteers From Countries Involved in Ebola ...  -  (),2014-07-31
45,  (India)   VICE      ()  Emergency Efforts in Africa to Contain Ebola as Toll Rises ,2014-07-31
46, ABUJA  Nigeria — As the death toll mounted from the worst outbreak of the Ebola virus  West African leaders quickened the pace of emergency efforts on ... Taxis  Planes and Viruses: How Deadly Ebola Can Spread week,2014-07-31
47, Ebola rages in Africa as west agonises over ethics of vaccine and ... ,2014-07-31
48, There's No Ebola Cure  But Early Intensive Treatment Boosts Survival HealthDay,2014-07-31
49, US embassies in West Africa to stay open despite Ebola warning ,2014-07-31
50, Cyclist Mohamed Tholley was due to pete in time trial event ...  - ,2014-07-31
51, week  HealthDay   Local   Only Enough for One: Experimental Ebola Serum Used on US Patient .,2014-07-31
52, “However  Dr. Brantly received a unit of blood from a 14-year-old boy who had survived Ebola because of Dr. Brantly's care. The young boy and his family ... Ebola patient ing to US as aid workers' health worsens ,2014-07-31
53, Ebola -Stricken Doc Gives 'Experimental Serum' to Coworker  ,2014-07-31
54,  Why We Don't Have an Ebola Vaccine  ,2014-07-31
55, Because Ebola cases are so rare  drug manufacturers hadn't been interested in investing in finding its vaccine  Schaffner said. In addition  Ebola's rarity makes it ... Plane sent to Africa to bring Ebola -infected Americans home Q13 FOX,2014-07-31
56, Dr. Kent Brantly  Medical Director for the Samaritan's Purse Ebola Consolidated Case Management Center in Monrovia  Liberia  has tested positive for the Ebola ... Ebola : The virus of quick death: the socio-economic implications in ... Liberian Dialogue,2014-07-31
57, Just see how Liberians continue to die of the deadly disease Ebola simply because the county is not proactive. The Country has a fire-truck approach. When the ... Doctor Infected With Ebola Makes Selfless Gesture To Fellow Patient ,2014-07-31
58,  Ebola : UK border staff 'unprepared' RT,2014-07-31
59, Immigration and border staff are reportedly deeply concerned by the risks Ebola carriers entering the UK pose to their health. ( / Neil Hall) / . Ebola outbreak: UK border not prepared for virus warns Immigration ... ,2014-07-31
60, UK Border Staff 'Unprepared' For Ebola Sky ,2014-07-31
61, Ebola : UK border staff 'unprepared' says union leader Highly Cited -  ,2014-07-31
62,  Nigerian official warns pastors and healers to stop making false ... ,2014-07-31
63, African governments are doubling down on efforts to contain the widening Ebola outbreak in West Africa  which also involves bating rumors and falsehoods ... PH has procedures to track  prevent Ebola spread — DOH Inquirer.net,2014-07-31
64, MANILA  Philippines — The deadly Ebola virus has reportedly infected some 1 200  mostly in West Africa where it has left at least 670 dead across the region ... DOH: Philippines ready for Ebola virus The Centrio ,2014-07-31
65,  American dies in Liberia as Ebola outbreak closes borders  ,2014-07-31
66, A young American man died Wednesday in Liberia  where an outbreak of the deadly Ebola virus has reached historic levels. But  his family said  it wasn't the ... Brother Of Md. Man Who Died In Liberia Remembers Final Words  Local,2014-07-31
67,Ebola crisis: Virus spreading too fast  says WHO  ,2014-08-01
68, The Ebola outbreak in West Africa is spreading faster than efforts to control it  World Health Organization (WHO) head Margaret Chan has said. She told a ... Ebola Virus Is Outpacing Efforts to Control It  World Health Body Warns ,2014-08-01
69, WHO Warns of 'Catastrophic' Consequences of Ebola  (India),2014-08-01
70, Mapping the acceleration of Ebola in West Africa in five charts Quartz,2014-08-01
71, Exposure of health workers weakens Africa's Ebola fight  - ,2014-08-01
72, Ebola moving faster than control efforts  - ,2014-08-01
73,   (India)  Geek PLoS s ()   What we need to fight Ebola ,2014-08-01
74, Ebola outbreaks have occurred in Africa on more than two dozen occasions over the past 40 years  and they were brought under control every time. This was ... How Ebola spreads: Important facts on disease transmission The Post-Standard,2014-08-01
75, Parts of Africa are in the throes of the deadliest outbreak of Ebola in ... 4 Washington,2014-08-01
76, US Scrambles to Retrieve Ebola Patients  - .,2014-08-01
77, Ebola's frontline: Battling fear and deadly virus Opinion - ,2014-08-01
78, Official: Ebola virus 'extraordinarily unlikely' to spread in US  - ,2014-08-01
79, The Post-Standard 4 Washington .   Department of Defense  Ebola Serum: Explaining the Americans' Experimental Treatments ,2014-08-01
80, This Ebola outbreak is the largest in history  and has so far claimed 729 lives in ... There are no treatments or vaccines available for Ebola   though several are in ... What Happens Once Ebola Patients Arrive in the US  ,2014-08-01
81, First Ebola case diagnosed in US: Here's why you don't need to panic  - ,2014-08-01
82, Ebola patients soon expected to arrive in United States  -  ,2014-08-01
83,   Ebola Vaccine Possible  but Many Doubts Persist ,2014-08-01
84, The Ebola virus is “a survivor ” said John Dye  chief of the viral immunology branch at the United States Army Medical Research Institute of Infectious Diseases. Ebola outbreak could spur action for Md. scientists working on vaccine ,2014-08-01
85,  How US Hospitals Keep Deadly Germs Like Ebola Virus Contained ,2014-08-01
86, With plans underway to bring one or two Americans stricken with Ebola to the United States  people are wondering how that will happen without unleashing the ... Tenn. Man in Quarantine After Ebola Outbreak: 'I'm Feeling Well'  ,2014-08-01
87," A Tennessee doctor who placed himself in quarantine after volunteering in West Africa  where the Ebola virus is rampant  says he's ""feeling well"" and showing ... Atlanta Doctors Gear Up To Treat Two Ebola Patients ",2014-08-01
88, A medical transport plane was en route to pick up two Americans sick with Ebola in Liberia  doctors in Atlanta said Friday. Some Frequently Asked Questions About The Ebola Virus And ... WABE 90.1 FM,2014-08-01
89,  Ebola Patients Coming to the US: How Safe Are We?  ,2014-08-01
90, Two Americans who are battling the deadly Ebola virus are being evacuated from Africa with the plan to fly them to U.S. hospitals to receive treatment. Tom Chivers: The curse of Ebola Opinion - National Post,2014-08-01
91, 5PM: 274 LDS missionaries in Ebola -affected areas being transferred ksl.,2014-08-01
92, Ebola virus is transmitted to people from wild animals  and spreads through human-to-human transmission through contact with blood  secretions  organs or ... Ebola forces 300 Peace Corps volunteers from 3 West African nations MassLive.,2014-08-01
93,A Virus Mutation Is What Made The 2014 Ebola Outbreak So Deadly ,2014-08-02
94, The worst outbreak of Ebola virus in history — happening now in West Africa — has claimed more than 700 lives  according to the latest count from the World ... Ambulance carrying first American Ebola victim arrives at Emory WSB Atlanta,2014-08-02
95,  World Turns Its Attention to West African Ebola Crisis ,2014-08-02
96, Chan made a point of telling the West African presidents that they are not alone in their fight against ebola ; that the world is with them. Next week  when the ... Largest Ever Ebola Outbreak Is Not a Global Threat ,2014-08-02
97, Russian virologists join battle with 'deadliest outbreak of Ebola ever' RT,2014-08-02
98, Why There May Never Be A Cure For Ebola ,2014-08-02
99, Ebola outbreak: Sierra Leone athletes frightened to go home after ... ,2014-08-02
100, Things to Know About the Ebola Outbreak  -  (),2014-08-02
101,   () RT   Hindustan   US|American Doctor With Ebola Arrives in US for Treatment ,2014-08-02
102, ATLANTA — The first of two American aid workers infected with Ebola while working in West Africa arrived in the United States on Saturday aboard a private air ... Family of Doctor With Ebola Optimistic About His Recovery  ,2014-08-02
103, Is It Safe to Bring Ebola Victims to the US?  - .,2014-08-02
104, First American Ebola patient arrives in US from Africa  -  ,2014-08-02
105,     .       Why Treating Ebola With An Experimental Serum Might Help ,2014-08-02
106, Last week we learned that two Americans working in Liberia for a medical charity  Samaritan's Purse  were among those who had contracted Ebola . When their ... Albert Camus And The Search For Meaning In The Midst Of Ebola ,2014-08-02
107, For months now the Ebola virus has been wreaking havoc in the West African countries of Guinea  Liberia  and Sierra Leone. More than 700 people have died  ... American doctor infected with Ebola returns to US ,2014-08-02
108, An American doctor stricken by Ebola in West Africa arrived home for treatment in Atlanta on Saturday  and U.S. government officials are urging the public to ... American aid worker Kent Brantly infected with Ebola virus arrives in ...  -  Online,2014-08-02
109,  BC Ebola remedy developer Tekmira's share value spikes ,2014-08-02
110, The price of shares in a B.C. pharmaceutical pany that has been working to develop an Ebola counter-measure rose sharply this week with  that the ... Ebola distracts from worsening Cameroon cholera outbreak ,2014-08-02
111, DAKAR/YAOUNDE (Thomson  Foundation) - A cholera epidemic in northern Cameroon has killed at least 65 people and probably infected about 1 300 ... Jet Carrying Ebola Patient Stops in Bangor WABI,2014-08-02
112, Just after 7:30 Saturday morning a Phoenix Air Gulfstream 3 carrying one American infected with the Ebola virus landed at Bangor International airport. Plane carrying American infected with Ebola stops in Bangor WMTW Portland,2014-08-02
113,  Ebola crisis: why is there bush meat in the UK? ,2014-08-02
114,Second American with Ebola to return Tuesday ,2014-08-03
115, A second American stricken with the Ebola virus is expected to return to the USA Tuesday  three days after a doctor being treated for the disease arrived at an ... Why Bringing Ebola Patients To The US Is The Right Thing To Do ,2014-08-03
116, American Doctor With Ebola Received Experimental Antibody ...  ,2014-08-03
117, Husband: Ebola patient showing positive signs of improvement WGCL-TV Atlanta,2014-08-03
118, US Doctor with Ebola Being Treated in Atlanta  - People ,2014-08-03
119, Atlanta hospital deemed 1 of safest for Ebola care  - ,2014-08-03
120,    WGCL-TV Atlanta RT People    Ebola outbreak: US experts to head to West Africa  ,2014-08-03
121, The US has announced plans to send at least 50 public health experts to West Africa to help fight the worst-ever outbreak of Ebola . A senior US health official ... CDC Director Says US 'Surging' Efforts to Stop Ebola Outbreak  ,2014-08-03
122," CDC director: ""We can stop"" Ebola from spreading  ",2014-08-03
123, Ebola : The disease is not the real problem Daily Maverick,2014-08-03
124, Are You Worried About an Ebola Outbreak in America? Check This ... Mic,2014-08-03
125, Terrorists could use Ebola to create dirty bomb to kill large numbers ...  - ,2014-08-03
126,      Daily Maverick Mic Independent Online  Ebola terror at Gatwick as passenger collapses and dies getting off ... ,2014-08-03
127, Airport staff tonight told of their fears of an Ebola outbreak after a passenger from Sierra Leone collapsed and died as she got off a plane at Gatwick. Workers ... Ebola scare at Gatwick: Fears disease may reach Britain grow after ... Highly Cited - ,2014-08-03
128, Ebola outbreak: US warns disease remains out of control as ...  Online,2014-08-03
129, The United States is sending an extra 50 public health officials to Africa to help bat the Ebola virus  warning that the outbreak remains out of control. Over the ... Ebola Isn't Likely to Spread Worldwide  Say Scientists Haaretz,2014-08-03
130, Ebola has captivated the world's attention because it's a terrifying disease – and the deadly haemorrhagic fever is caused by a virus  meaning there's no cure. Dr. Kent Brantly  stricken with Ebola   “appears to be improving ... fox6now.,2014-08-03
131," ATLANTA () -- An American doctor infected with Ebola in Liberia ""seems to be improving "" according to the director of the Centers for Disease Control and ... Retired US doctor quarantines himself after treating Ebola in West ... New York's PIX11 / WPIX-TV",2014-08-03
132,  LDS missionaries being moved in Africa due to Ebola virus KHON2,2014-08-03
133, (KSL/) — Due to the outbreak of the Ebola virus  all Mormon missionaries serving in the African nations of Sierra Leone and Liberia are in the process of ... Ebola crisis:  visits affected village in Guinea  ,2014-08-03
134, Ebola crisis:  visits affected village in Guinea. 3 August 2014 Last updated at 12:54 BST. The Ebola virus has claimed almost 700 lives in West Africa  amid ... Ebola Outbreak Feeds on Fear  Anger  Rumors  ,2014-08-03
135, As the number of new infections and deaths rise in the Ebola outbreak  fear and suspicion is rising  too  making it more difficult for health care workers to get the ... Battling Ebola : Heading Into the Outbreak BU Today,2014-08-03
136, This is the first time Ebola has been present in these three countries: Sierra Leone  Guinea  and Liberia. Because these countries haven't seen the infection ... Mass. Doctor Heading to Africa to Help Fight Ebola Highly Cited - NECN,2014-08-03
137,The superstition that is dramatically escalating the Ebola outbreak The Week ,2014-08-04
138, Since the deadliest Ebola outbreak to date began in West Africa earlier this year  more than 670 people have died  according to the World Health Organization ... Ebola : World Bank Group Mobilizes Emergency Funding to Fight ... World Bank Group,2014-08-04
139, The economics of Ebola   or why there's no cure Opinion - ,2014-08-04
140, Rabid Opposition to Ebola : Epidemiology Meets Hyperbole  -  (),2014-08-04
141, Man tested for Ebola in NYC  50 US experts head to West Africa to ...  - RT,2014-08-04
142, Why Ebola is hitting people in Africa hard  -  ,2014-08-04
143,  Doctor With Ebola Is Improving  As Nigeria Reports Second Case ,2014-08-04
144, Kent Brantly  of Fort Worth  Texas  is the first person to be treated for Ebola on American soil. The 33-year-old family doctor surprised everyone Saturday when ... Containing Ebola Is Actually Not That Hard ,2014-08-04
145, Dr. Kent Brantly  American With Ebola   Got Experimental Serum ... .,2014-08-04
146, Plane leaves Liberia with second American infected with Ebola  -  ,2014-08-04
147, How to deal with the Ebola outbreak Opinion - ,2014-08-04
148, 'Secret serum' could save American Ebola victims as second man in ...  - ,2014-08-04
149,  Man Being Tested At Mount Sinai Hospital For Possible Ebola Virus  Local,2014-08-04
150, At a  conference early Monday evening  Mount Sinai Chief Medical Officer Dr. Jeremy Boal said it was not likely that the patient was suffering from Ebola . Man Tested for Ebola at East Harlem Hospital Unlikely to Have Virus DNAinfo,2014-08-04
151, Dear New York  Don't Freak Out About Ebola . You're Going to Be Fine. ,2014-08-04
152,   of San Diego Experimental Ebola Serum Grown in Tobacco Leaves WebMD,2014-08-04
154, -- ZMapp  the experimental treatment rushed to two Americans infected with Ebola in Africa  is grown in specially modified leaves of tobacco -- a plant ... Local Biotech Increasing Production of 'ZMapp' Ebola Drug  of San Diego,2014-08-04
155,  Ebola victims' bodies must be cremated not buried to stop killer ... ,2014-08-04
156, The bodies of Ebola victims must be cremated – not buried – ordered the government of Liberia yesterday. Hundreds of troops were sent to the capital Monrovia ... Nigerian doctor infected with Ebola as West Africa scrambles  ,2014-08-04
157, Ebola Threatens Liberia's Progress Since End of Civil War ,2014-08-04
158,  Ebola Virus Does Not Pose Threat To Air Travel  Trade Group Says  ,2014-08-04
159, Ebola Virus Some of the ultrastructural morphology displayed by an Ebola virus virion is revealed in this undated handout colorized transmission electron ... Emirates suspends Guinea flights on Ebola concerns ,2014-08-04
160, Emirates Goes Solo in Ebola Shutdown as Top Carriers Keep Flying ,2014-08-04
161,  'What's shocking is how Ebola patients look before they die': British ... ,2014-08-04
162, ' Ebola is a new disease in Sierra Leone and when the first cases emerged  many people thought it might be a government conspiracy to undermine certain tribal ... An Ebola Quarantine In Freetown: People Come And Go As They Wish ,2014-08-04
163, Lax Quarantine Undercuts Ebola Fight in Africa  - ,2014-08-04
164,  We're Getting Closer to Vaccines and Drugs for Ebola ,2014-08-04
165, For the nearly 1 400 people who have been infected with Ebola   there isn't much they ... Only one of the Ebola vaccines  which uses the cold virus as a vector to ... Ebola vaccine could be ready by July  says top health official PBS Hour,2014-08-04
166, The race to find a vaccine or treatment to stop Ebola  -  ,2014-08-04
167,  Ebola Test After Woman Dies At Gatwick Sky ,2014-08-04
168," The Gatwick spokeswoman said: ""Given the origin of the flight  the hospital carried out tests for ebola and other infectious diseases as a precaution. The tests ... Ebola Scare Grips Britain After Woman Dies Arriving on Gambia Flight Breitbart ",2014-08-04
169, African woman who died in UK did not have Ebola ,2014-08-04
170,  Indiana Congressman says immigrant kids might have Ebola nwitimes.,2014-08-04
171, Todd Rokita  R-Ind.  suggested Monday that immigrant children from Central America could be carrying the Ebola virus that has killed some 800 people this year ... Another Congressman Suggests Migrant Children May Have Ebola Highly Cited - ,2014-08-04
172,Ebola mortality rate expected to rise as outbreak runs its deadly course ,2014-08-05
174,. Here's Your Ebola Survival Guide For Airplanes  From The CDC ,2014-08-05
175, Ebola outbreak: World Health Organisation urged to allow ...  -  Online,2014-08-05
176, Ebola : What precautions are airlines taking? Opinion - ,2014-08-05
177, New York City prepared to 'rapidly' ID Ebola cases: Health ...  -   (),2014-08-05
